"Service Name","Retiring Feature","Retirement Date","Actions","Is Available under the Impacted Services?"
"FluidRelay Server","Outdated client library","2027-07-01","https://learn.microsoft.com/en-us/azure/azure-fluid-relay/concepts/version-compatibility","Yes"
"Application gateway","V1","2026-04-28","https://azure.microsoft.com/updates?id=application-gateway-v1-will-be-retired-on-28-april-2026-transition-to-application-gateway-v2","Yes"
"Virtual machine","Standard_M192ids_v2","2027-03-31","https://azure.microsoft.com/updates?id=community-support-for-standardm192idsv2-is-ending-on-31-march-2027","Yes"
"FHIR service","SMART on FHIR proxy","2026-09-21","https://azure.microsoft.com/updates?id=smart-on-fhir-proxy-feature-in-azure-health-data-services-will-be-retired-on-21st-september-2026-transition-to-smart-on-fhir","Yes"
"Front Door Profile","Standard from Microsoft (classic)","2027-09-30","https://azure.microsoft.com/updates?id=Azure-CDN-Standard-from-Microsoft-classic-will-be-retired-on-30-September-2027","Yes"
"Virtual network gateway","Non-AZ VPNs","2026-09-30","https://azure.microsoft.com/updates?id=vpngw1-5-non-az-skus-will-be-retired-on-30-september-2026","Yes"
"Load balancer","Inbound NAT rule V1","2027-09-30","https://azure.microsoft.com/updates?id=Retirement-notice-Azure-Load-Balancer-Inbound-NAT-rule-V1-for-Azure-VMs-and-Azure-VMSS-will-be-retired","Yes"
"Application gateway","WAF v2 Config","2027-03-31","https://learn.microsoft.com/azure/web-application-firewall/ag/upgrade-ag-waf-policy?tabs=portal#upgrade-waf-v2-with-legacy-waf-configuration-to-waf-policy","Yes"
"Availability test","Single URL Ping Test","2026-09-30","https://azure.microsoft.com/updates?id=transition-to-using-standard-tests-for-singlestep-availability-testing-in-azure-monitor-application-insights-by-30-september","Yes"
"Automation account","State Configuration (DSC)","2027-09-30","https://azure.microsoft.com/updates/v2/Planned-Service-Retirement-Azure-Automation-State-Configuration-16-September-2027","No"
"Azure Maps Account","Web SDK Map Controls v1.xx","2026-09-19","https://azure.microsoft.com/updates/azure-maps-web-sdk-map-controls-version-1xx-will-be-retired-on-19-september-2026/","No"
"Azure Sphere Catalog","Public API","2027-09-26","https://azure.microsoft.com/updates/v2/Azure-Sphere-Legacy-Interface-Retirement","No"
"Subscription","Azure Virtual Desktop Classic","2026-09-30","https://learn.microsoft.com/azure/virtual-desktop/virtual-desktop-fall-2019/classic-retirement","No"
"Cognitive Service","Studio v2.1","2027-09-15","https://azure.microsoft.com/updates/v2/Azure-Docuement-Intelligence-V2-retirement","No"
"Log Analytics workspace","HTTP Data Collector API","2026-09-14","https://learn.microsoft.com/azure/azure-monitor/logs/custom-logs-migrate","No"
"Kubernetes - Azure Arc","Open Service Mesh add-on","2027-09-30","https://azure.microsoft.com/updates/v2/open-service-mesh-extension-for-aks-retirement","No"
"Front Door Web Application Firewall policy","Classic","2027-03-31","https://azure.microsoft.com/updates/azure-front-door-classic-will-be-retired-on-31-march-2027/","No"
"App service","In-process model","2026-11-10","https://azure.microsoft.com/updates/retirement-support-for-the-inprocess-model-for-net-apps-in-azure-functions-ends-10-november-2026/","No"
"Recovery Services vault","Classic Alerts","2027-09-22","https://azure.microsoft.com/updates/v2/azure-site-recovery-classic-alerts-retirement","No"
"Api Management","Built-in Analytics","2027-03-31","https://azure.microsoft.com/updates/begin-using-azure-monitor-based-dashboards-in-azure-api-management-before-the-builtin-analytics-dashboards-are-retired-on-15/","No"
"App service","Version 1.x runtime","2026-09-14","https://azure.microsoft.com/updates/support-for-the-1x-version-of-azure-functions-ends-14-september-2026/","No"
"Subscription","HPC Pack 2016","2027-01-12","https://azure.microsoft.com/updates/hpc-pack-2016-will-be-retired-on-12-january-2027/","No"
"Container registry","2017-01-01-(GA) API","2026-09-30","https://azure.microsoft.com/updates/we-re-ending-support-for-the-20170301ga-api/","No"
"Cognitive Service","Azure Personalizer","2026-10-01","https://azure.microsoft.com/updates?id=ai-services-personalizer-will-be-retired-on-1-october-2026","Yes"
"Cognitive Service","Azure Anomaly Detector","2026-10-01","https://azure.microsoft.com/updates?id=ai-services-anomaly-detector-will-be-retired-on-1-october-2026","Yes"
"Azure API for FHIR","Entire service","2026-09-30","https://azure.microsoft.com/updates?id=azure-api-for-fhir-retirement","Yes"
"Cognitive Service","Azure Metrics Advisor","2026-10-01","https://azure.microsoft.com/updates?id=ai-services-metrics-advisor-will-be-retired-on-1-october-2026","Yes"
"Virtual machine","Standard_M192is_v2","2027-03-31","https://azure.microsoft.com/updates?id=community-support-for-standardm192isv2-is-ending-on-31-march-2027","Yes"
"Virtual machine","Standard_M192ims_v2","2027-03-31","https://azure.microsoft.com/updates?id=community-support-for-standardm192imsv2-is-ending-on-31-march-2027","Yes"
"Virtual machine","Standard_M192idms_v2","2027-03-31","https://azure.microsoft.com/updates?id=support-for-standardm192idmsv2-will-be-retired-on-31-march-2027","Yes"
"Azure Maps Account","Gen1 price tier","2026-09-15","https://azure.microsoft.com/updates?id=azure-maps-gen1-price-tier-retirement","Yes"
"Lab plan","V1 and V2","2027-06-28","https://azure.microsoft.com/updates?id=Azure-Lab-Services-is-being-retired","Yes"
"Lab account","V1 and V2","2027-06-28","https://azure.microsoft.com/updates?id=Azure-Lab-Services-is-being-retired","Yes"
"Lab","V1 and V2","2027-06-28","https://azure.microsoft.com/updates?id=Azure-Lab-Services-is-being-retired","Yes"
"Cognitive Service","Azure Content Moderator","2027-03-15","https://azure.microsoft.com/updates?id=azure-content-moderator-retirement","Yes"
"Activity log alert rule","Alerts - GetAlertSummary API","2026-09-30","https://azure.microsoft.com/updates/action-required-migrate-to-using-arg-query-for-get-alert-summary-in-azure-monitor/","No"
"Cognitive Service","v2.0 API","2026-08-31","https://azure.microsoft.com/updates/retirement-azure-ai-document-intelligence-v20-api-will-be-retired-on-31-august-2026/","No"
"Azure Maps Account","Render V1 APIs","2026-09-17","https://azure.microsoft.com/updates/azure-maps-render-v1-apis-will-be-retired-on-17-september-2026/","No"
"Application Insights","Monitoring Support","2026-09-14","https://azure.microsoft.com/updates/azure-monitor-for-aksengine-will-not-be-supported-on-14-september-2026/","No"
"SQL database","Data Sync","2027-09-30","https://azure.microsoft.com/updates/v2/SQL-Data-Sync-Retirement","No"
"Cognitive Service","Long audio API","2027-04-01","https://azure.microsoft.com/updates/long-audio-api-will-be-retired-on-31-march-2027-migrate-to-the-new-batch-synthesis-api/","No"
"Data factory","Memory Optimized Data Flows","2027-03-31","https://azure.microsoft.com/updates/were-retiring-memory-optimized-data-flows-in-azure-data-factory-use-general-purpose-for-better-performance-at-a-lower-price/","No"
"SQL server","Microsoft.SQL 2014-04-01 stable APIs","2026-06-30","https://learn.microsoft.com/rest/api/sql/retirement","No"
"Cognitive Service","S2, S3, and S4 price instances","2026-10-01","https://azure.microsoft.com/updates/azure-ai-translator-s2s4-billing-instances-will-be-retired-on-1-october-2026-transition-to-commitment-tiers-for-discounted-pr/","No"
"Service bus namespace","WindowsAzure.ServiceBus, Microsoft.Azure.ServiceBus and com.microsoft.azure.servicebus","2026-09-30","https://azure.microsoft.com/updates/retirement-notice-update-your-azure-service-bus-sdk-libraries-by-30-september-2026/","No"
"Azure Maps Account","Route v1 APIs","2028-03-31","https://azure.microsoft.com/updates/?id=485819","Yes"
"Kubernetes service","Support for Ubuntu 20.04","2027-03-17","https://azure.microsoft.com/updates/?id=485172","Yes"
"Container registry","Support for Docker Content Trust","2028-03-31","https://azure.microsoft.com/updates/?id=485241","Yes"
"App service","Docker Compose","2027-03-31","https://azure.microsoft.com/updates/?id=485167","Yes"
"Kubernetes - Azure Arc","Deployments on Windows Server 2019 and Windows Server 2022","2028-03-17","https://azure.microsoft.com/updates?filters=%5B%22Retirements%22%5D","Yes"
"Kubernetes service","Kubenet Networking","2028-03-31","https://azure.microsoft.com/updates/?id=485172","Yes"
"Virtual network gateway","Manually registered Azure VPN clients","2028-03-31","https://azure.microsoft.com/updates/?id=485535","Yes"
"Cloud Service","Extended Support","2027-03-31","https://azure.microsoft.com/updates/?id=486344","Yes"
"Spring Cloud Service","Entire service","2028-03-31","https://azure.microsoft.com/updates/?id=485865","Yes"
"Virtual machine","Desired State Configuration Extension","2028-03-31","https://azure.microsoft.com/updates/?id=485828","Yes"
"App service"," Support for Node 20 LTS","2026-04-30","https://azure.microsoft.com/updates/?id=485072","Yes"
"Azure Maps Account","Traffic v1 APIs","2028-03-31","https://azure.microsoft.com/updates/?id=485810","Yes"
"App service","Durable Functions support for Netherite","2028-03-31","https://azure.microsoft.com/updates/?id=489009","No"
"App service",".NET 9 (STS)","2026-05-12","https://azure.microsoft.com/updates/?id=485077","Yes"
"Virtual machine","DCsv2-series","2026-06-30","https://azure.microsoft.com/updates/?id=496104","Yes"
"App service","PHP 8.2","2026-12-31","https://azure.microsoft.com/updates?id=php-82-app-svc","Yes"
"Kubernetes service","Windows Server 2022","2027-03-15","https://learn.microsoft.com/azure/aks/upgrade-windows-os","Yes"
"Extension","Desired State Configuration extension","2028-03-31","https://azure.microsoft.com/updates/?id=485828","Yes"
"Virtual machine","D, Ds, Dv2, Dsv2 and Ls series","2028-05-01","https://azure.microsoft.com/updates/?id=485569","Yes"
"Log Analytics workspace","Batch API","2028-03-31","https://learn.microsoft.com/azure/azure-monitor/logs/api/migrate-batch-and-beta","No"
"Databricks Workspace","Azure Databricks - Standard Tier","2026-10-01","https://azure.microsoft.com/updates/?id=502623","Yes"
"Virtual machine scale set","Virtual Machine and Virtual Machine Scale Set - Azure Disk Encryption","2028-09-15","https://azure.microsoft.com/updates/?id=493779","Yes"
"Virtual machine","LSv2, G, GS, F, FS, Fsv2, B, Av2 - Series","2028-11-15","https://azure.microsoft.com/updates/?id=500682","Yes"
"Virtual machine","NVv3-Series","2026-09-30","https://azure.microsoft.com/updates/?id=500573","Yes"
"Cognitive Service","Cognitive Services Text Analytics API - Entity Linking","2028-09-01","https://azure.microsoft.com/updates?id=499851","Yes"
"Azure Managed Redis","Redis Enterprise","2027-03-31","https://azure.microsoft.com/updates/?id=499606","Yes"
"Virtual machine","NVv4-series Azure Virtual Machines","2026-09-30","https://azure.microsoft.com/updates/?id=500578","Yes"
"Redis Cache Server","Redis Cache","2028-09-30","https://azure.microsoft.com/updates/?id=499577","Yes"
"Storage Account","Legacy Blob and General-Purpose v1 storage accounts","2026-10-13","https://azure.microsoft.com/updates/?id=496964","Yes"
"Kubernetes service","Legacy authentication for Container Insights - Azure Monitor","2026-09-30","https://azure.microsoft.com/updates/?id=500853","Yes"
"Cognitive Service","Azure AI Vision - Image Analysis","2028-09-25","https://azure.microsoft.com/updates/?id=502909","Yes"
"Kubernetes - Azure Arc","Windows Server 2022 SKU on AKS Arc","2026-10-31","https://azure.microsoft.com/updates/?id=499906","Yes"
"Cognitive Service","Azure AI Custom Vision","2028-09-25","https://azure.microsoft.com/updates/?id=502914","Yes"
"Managed HSM Service","Support for HSM Platform 1 keys","2028-09-15","https://azure.microsoft.com/updates/?id=494676","Yes"
"App service","Linux Consumption hosting plan - Azure Functions","2028-09-30","https://azure.microsoft.com/updates/?id=499451","Yes"
"SQL managed instance","Azure Monitor SCOM Managed Instance","2026-09-30","https://azure.microsoft.com/updates/?id=501673","Yes"
"AVS Private cloud","Azure VMware Solution AV36 Node","2028-06-30","https://azure.microsoft.com/updates/?id=503883","Yes"
"App service","Azure Functions - Node.js 20","2026-04-30","https://azure.microsoft.com/updates/?id=502957","Yes"
"Workspace","Azure Machine Learning - Data Labeling","2026-09-30","https://azure.microsoft.com/updates/?id=501692","No"
"Service fabric cluster","Microsoft Fabric - Semantic Link Spark Native Connector","2028-10-01","https://azure.microsoft.com/updates/?id=502602","No"
"Kubernetes - Azure Arc","Windows Server 2019 and Windows Server 2022","2028-03-27","https://azure.microsoft.com/updates/?id=485893","Yes"
"Kubernetes service","Azure NPM for AKS Linux clusters","2028-09-30","https://azure.microsoft.com/updates/?id=500268","Yes"
"Storage Account","Azure Blob Storage - BlobFuse v1","2026-09-30","https://azure.microsoft.com/updates/?id=498563","No"
"Kubernetes service","Azure Network Policy Manager (NPM) For Windows","2026-09-30","https://azure.microsoft.com/updates/?id=500273","No"
"Workspace","Azure Machine Learning - SDK V1 - Dependent Libraries","2026-06-30","https://azure.microsoft.com/updates/?id=501668","No"
"Flow Log","NSG Flow Logs","2027-09-30","https://azure.microsoft.com/updates/v2/Azure-NSG-flow-logs-Retirement","Yes"
"Service bus namespace","Legacy Service Bus SDK libraries","2026-09-30","https://azure.microsoft.com/updates?id=retirement-notice-update-your-azure-service-bus-sdk-libraries-by-30-september-2026","No"
"SQL virtual machine","Azure SQL - Automated patching for SQL VMs","2027-09-15","https://azure.microsoft.com/updates?id=Automated-Patching-deprecation-and-replacement-with-Azure-Update-Manager","No"
"Microsoft Entra Domain Service","Azure Price Sheet - Download by Billing Account APIs prior to version 2023-09-01","2026-06-01","https://azure.microsoft.com/updates?id=Cost-Management-Download-by-Billing-Account-API-version-retirement","No"
"Azure Monitor workspace","Azure Monitor - Legacy Azure Activity logs solution","2026-09-15","https://azure.microsoft.com/updates?id=azure-activity-logs-legacy-solution-is-replaced-by-diagnostic-settings","No"
"Azure Monitor workspace","Azure Monitor - ContainerLog table","2026-09-30","https://learn.microsoft.com/azure/azure-monitor/containers/container-insights-logs-schema","No"
"Microsoft Entra Domain Service","Azure FXT Edge Filer - Entire service","2026-12-31","https://azure.microsoft.com/updates?id=fxtretirement","No"
"Cognitive Service","Azure AI Speech - Custom Commands","2026-04-30","https://azure.microsoft.com/updates?id=retirement-notice-custom-commands-will-retire-on-30-april-2026","No"
"Automation account","Best Practices","2027-09-30","https://azure.microsoft.com/updates/v2/Azure-Automanage-Best-Practices-Retirement-Migrate-to-Azure-Policy","Yes"
"Disk","Operating System (OS) Disks on Standard HDD","2028-09-08","https://azure.microsoft.com/updates/?id=500157","Yes"
"SQL database","FSV2 Database","2026-10-01","https://azure.microsoft.com/updates/?id=485030","Yes"
"Cognitive Service","Computer Vision API v1.0, v2.0, v2.1, v3.0. v3.1","2026-09-13","https://azure.microsoft.com/updates/computer-vision-api-retirements-13-9-2026/","Yes"
"Virtual machine","Dependency Agent and VM Insights Map","2028-06-30","https://azure.microsoft.com/updates?id=491629","Yes"
"App service","Customer Backup - Linked Database Backup","2028-03-31","https://azure.microsoft.com/updates/?id=485047","Yes"
"App service","Support for Python 3.10","2026-10-01","https://azure.microsoft.com/updates/?id=545771","Yes"
"Kubernetes service","Nginx ingress in application routing add-on","2026-11-30","https://azure.microsoft.com/updates/?id=555839","Yes"
"Azure Sphere Catalog","Azure Sphere","2031-07-31","https://aka.ms/AzureSphereRetirement","Yes"
"Key vault","API versions prior to 2026-02-01","2027-02-27","https://learn.microsoft.com/azure/key-vault/general/access-control-default?tabs=azure-cli","Yes"
"AVS Private cloud","AV36P SKU","2029-03-31","https://azure.microsoft.com/updates/?id=557094","Yes"
"Batch account","HCv1 series","2027-05-31","https://azure.microsoft.com/updates/?id=548543","Yes"
"SQL server","Elastic query - Shard map manager mode","2027-03-31","https://azure.microsoft.com/updates/?id=558086","Yes"
"Batch account","NP-series","2027-05-31","https://azure.microsoft.com/updates/?id=548497","Yes"
"Virtual machine","HBv2-Series","2027-05-31","https://azure.microsoft.com/updates/?id=548525","Yes"
"Batch account","HBv2-series","2027-05-31","https://azure.microsoft.com/updates/?id=548525","Yes"
"Virtual machine","HCv1-Series","2027-05-31","https://azure.microsoft.com/updates/?id=548543","Yes"
"Virtual machine","NP-series","2027-05-31","https://azure.microsoft.com/updates/?id=548497","Yes"
"AVS Private cloud","AV52 SKU","2029-03-31","https://azure.microsoft.com/updates/?id=557094","Yes"
"Batch account","Azure Batch - Windows Server 2016","2027-01-12","https://azure.microsoft.com/updates/?id=549077","Yes"
"Volume","Create basic networking volumes","2026-05-31","https://learn.microsoft.com/azure/azure-netapp-files/azure-netapp-files-network-topologies#considerations","Yes"
"Hyperscale (Citus) server group","Azure Cosmos DB for PostgreSQL","2029-03-31","https://azure.microsoft.com/updates/?id=556085","Yes"
